Longitude;Latitude
21.74103876705192;41.77905410628477
21.741039769472536;41.779034243498145
21.74103919664404;41.779013059133625
21.74103919664404;41.77899558578748
21.741038887995558;41.77898404772213
21.741039111174643;41.77892971391261
21.741041743274224;41.778854751653945
21.74103982599908;41.77889493032492
21.741048108719554;41.7788130863109
21.741047981727945;41.778801816524684
21.741049378704986;41.778766302479355
21.74104912472174;41.77878145514919
21.741051858655084;41.778731474577555
21.74105281525962;41.77871034113226
21.74105248206368;41.778631782744334
21.74105326175416;41.778610463632305
21.74105379925072;41.778592071304224
21.741053274931517;41.77854651828619
21.741065565590503;41.77906976382077
21.74106812584759;41.77902876078173
21.741069735329404;41.77900171091803
21.741067946453683;41.779025722964235
21.741070411327;41.77898687180946
21.741070411327;41.77899800233138
21.741070411327;41.77894819125223
21.741069882032065;41.77896768941839
21.741070784103073;41.77892122239764
21.741069755856785;41.77894475720198
21.74107417133058;41.778884855217626
21.74107376711987;41.77889546532126
21.74107504527757;41.77886997744306
21.741077075818282;41.77884101790051
21.741078955854363;41.77876608743648
21.741078415334044;41.778817519357226
21.741079019072544;41.77871218956214
21.741077971977546;41.77874632487374
21.741078915465465;41.778706995197744
21.741079681334583;41.77866645021903
21.741079995012598;41.77863313136827
21.741079238297317;41.778647465153774
21.741080912693405;41.77857597021847
21.7410798083406;41.77862432394092
21.741080674112027;41.77856829762792
21.741080252177937;41.77854669300251
21.741128554657536;41.77823375990691
21.741128369386587;41.77818844103755
21.741126850065825;41.77827462954552
21.741127245479532;41.778259000773495
21.74112621778957;41.7783211628491
21.74112621778957;41.77831199016808
21.741122851593957;41.778356431331545
21.741120864642113;41.77842426087708
21.741121980479903;41.77845691605046
21.741121980479903;41.77844619820472
21.74112150138737;41.77846867589247
21.74112162115233;41.7784608161519
21.741119249804086;41.7785111463099
21.741119138781897;41.77848647330154
21.7411174177372;41.77857214454573
21.741118718899486;41.77855079781361
21.741114627700398;41.77866239814819
21.74111513304743;41.77858916090239
21.741114077276478;41.77871557854705
21.74111471628609;41.778689527551485
21.741111393660333;41.778750822317114
21.74111248867763;41.778727141889355
21.741111051070135;41.778831278073945
21.741111720996486;41.778809796529664
21.74110984526854;41.77886504904086
21.741110113224437;41.77884816355964
21.741109933910963;41.778887857732364
